,Unnamed: 0,Year,GNP,GNP_PriceIndexLevel,date,symbol,retainedEarnings,totalAssets,totalLiabilities,totalCurrentAssets,totalCurrentLiabilities,shortTermDebt,longTermDebt,workingCapital,Strike_Price,revenue,ebit,depreciationAndAmortization,interestExpense,interestIncome,netIncome,deferredIncomeTax,fundFromOperations,marketCapitalization,stockPrice,numberOfShares,Altman_A,Altman_B,Altman_C,Altman_D,Altman_E,Ohlson_A,Ohlson_B,Ohlson_C,Ohlson_D,Ohlson_E,Ohlson_F,Ohlson_G,netIncome_Lag1,netIncome_Lag2,netLoss_2Years,Ohlson_H,netIncome_Lag1_Sum,netIncome_Lag1_Diff,Ohlson_I
91,91,2024,29243.108,3088.849161562702,2024-12-31,T,1871000000,394795000000,274570000000,31168000000,46872000000,5089000000,118443000000,-15704000000,64310500000.0,122336000000,23443000000,20580000000,6745000000,0,12253000000,1570000000,34403000000,163921230000,22.77,7199000000,-0.03977760609936803,0.004739168429184767,0.05938018465279449,0.5970107076519648,0.3098722121607417,127812974.7845202,0.6954748667029724,-0.03977760609936803,1.5038501026694044,0,0.031036360642865284,0.1252977382816768,14400000000.0,-6874000000.0,7526000000.0,0,26653000000.0,-2147000000.0,-0.08055378381420478
52,52,2022,26156.16425,2762.7858849103472,2022-12-31,PFE,125656000000,197206000000,101289000000,51259000000,42138000000,2934000000,31925000000,9121000000,18896500000.0,100330000000,35967000000,5064000000,1238000000,251000000,31401000000,-3764000000,32701000000,287353920000,51.24,5608000000,0.04625112826181759,0.6371814245002687,0.1823828889587538,2.8369706483428607,0.5087573400403639,71379400.43674408,0.5136202752451751,0.04625112826181759,0.8220605162020328,0,0.15922943520988206,0.32284848305344116,22459000000.0,7021000000.0,29480000000.0,0,53860000000.0,8942000000.0,0.16602302265131824
72,72,2023,27820.7545,2938.6108416166567,2023-12-31,PFE,118353000000,226501000000,137213000000,43333000000,47794000000,10346000000,60499000000,-4461000000,40595500000.0,59553000000,3267000000,6290000000,2209000000,1624000000,2172000000,-3442000000,5020000000,162461970000,28.79,5643000000,-0.019695277283544,0.5225274943598484,0.01442377737846632,1.184012957955879,0.2629259914967263,77077575.83695295,0.6057942349040402,-0.019695277283544,1.1029469457457366,0,0.009589361636372466,0.03658545473096572,31401000000.0,22459000000.0,53860000000.0,0,33573000000.0,-29229000000.0,-0.8706103118577428
92,92,2024,29243.108,3088.849161562702,2024-12-31,PFE,116725000000,213396000000,124899000000,50358000000,42995000000,6946000000,56703000000,7363000000,35297500000.0,63627000000,11114000000,7013000000,3091000000,545000000,8051000000,-2102000000,12962000000,150265920000,26.53,5664000000,0.03450392697145214,0.5469877598455454,0.05208157603703912,1.2030994643672086,0.2981639768318057,69085924.51048638,0.5852921329359501,0.03450392697145214,0.8537868858969776,0,0.03772797990590264,0.10377985412213069,2172000000.0,31401000000.0,33573000000.0,0,10223000000.0,5879000000.0,0.575075809449281
53,53,2022,26156.16425,2762.7858849103472,2022-08-28,COST,15585000000,64166000000,43519000000,32696000000,31998000000,73000000,6484000000,698000000,3315000000.0,226954000000,7998000000,2277000000,158000000,61000000,5915000000,-37000000,8155000000,235605300059,531.06,443651000,0.010878035096468534,0.24288564037028956,0.12464545086182714,5.413849124727131,3.5369822024124926,23225107.798059493,0.6782252283140604,0.010878035096468534,0.9786518228529484,0,0.09218277592494467,0.18738941611709828,5079000000.0,4059000000.0,9138000000.0,0,10994000000.0,836000000.0,0.0760414771693651
73,73,2023,27820.7545,2938.6108416166567,2023-09-03,COST,19521000000,68994000000,43936000000,35879000000,33583000000,1081000000,5377000000,2296000000,3769500000.0,242290000000,8647000000,2489000000,160000000,470000000,6292000000,0,8781000000,241567539500,544.25,443854000,0.03327825608023886,0.2829376467518915,0.1253297388178682,5.498168688546977,3.5117546453314783,23478440.568892553,0.6368089978838739,0.03327825608023886,0.9360071350929513,0,0.09119633591326783,0.19985888565185725,5915000000.0,5079000000.0,10994000000.0,0,12207000000.0,377000000.0,0.0308839190628328
93,93,2024,29243.108,3088.849161562702,2024-09-01,COST,17619000000,69831000000,46209000000,34246000000,35464000000,103000000,5794000000,-1218000000,3000000000.0,254453000000,9909000000,2237000000,169000000,598000000,7367000000,0,9604000000,396139975320,892.38,443914000,-0.017442110237573572,0.25230914636765905,0.14189972934656528,8.57278831656171,3.6438401283097765,22607449.03602586,0.6617261674614426,-0.017442110237573572,1.0355661975121182,0,0.1054975583909725,0.20783829989828823,6292000000.0,5915000000.0,12207000000.0,0,13659000000.0,1075000000.0,0.07870268687312394
54,54,2022,26156.16425,2762.7858849103472,2022-12-31,INTC,70405000000,182103000000,78817000000,50407000000,32155000000,4323000000,37684000000,18252000000,23165000000.0,63054000000,8264000000,13035000000,496000000,589000000,8017000000,-5148000000,15904000000,108574440000,26.43,4108000000,0.10022899128515181,0.3866218568612269,0.045380910803226746,1.3775510359440222,0.3462545921813479,65912816.83991565,0.43281549452782214,0.10022899128515181,0.6379074334913801,0,0.04402453556503737,0.20178387911237422,19868000000.0,20899000000.0,40767000000.0,0,27885000000.0,-11851000000.0,-0.4249955173032096
74,74,2023,27820.7545,2938.6108416166567,2023-12-30,INTC,69156000000,191572000000,81607000000,43269000000,28053000000,2300000000,46978000000,15216000000,25789000000.0,54228000000,1640000000,9602000000,878000000,1335000000,1675000000,-2033000000,9244000000,210547500000,50.25,4190000000,0.0794270561459921,0.3609922118054831,0.00856075000521997,2.5800176455451127,0.2830685068799198,65191347.31518515,0.4259860522414549,0.0794270561459921,0.6483394578104417,0,0.008743448938258201,0.11327459654196331,8017000000.0,19868000000.0,27885000000.0,0,9692000000.0,-6342000000.0,-0.6543541064795708
94,94,2024,29243.108,3088.849161562702,2024-12-28,INTC,49032000000,196485000000,91453000000,47324000000,35666000000,3729000000,46282000000,11658000000,26870000000.0,53101000000,-10176000000,11379000000,824000000,1805000000,-19233000000,6132000000,-1722000000,86884000000,20.3,4280000000,0.05933277349415986,0.2495457668524315,-0.05179021299335827,0.9500399112112232,0.2702547268239306,63611069.92372358,0.46544519937908746,0.05933277349415986,0.75365565040994,0,-0.0978853347583785,-0.018829344034640743,1675000000.0,8017000000.0,9692000000.0,0,20908000000.0,-20908000000.0,-1.0
55,55,2022,26156.16425,2762.7858849103472,2022-12-31,KO,71019000000,92763000000,66937000000,22591000000,19724000000,3113000000,36377000000,2867000000,21301500000.0,43004000000,12568000000,1260000000,882000000,449000000,9571000000,-122000000,10709000000,275304080000,63.61,4328000000,0.03090671927384841,0.7655961967594839,0.13548505330789215,4.112883457579515,0.46359000894753294,33575891.822326355,0.7215915828509212,0.03090671927384841,0.8730910539595415,0,0.10317691320893028,0.15998625573300268,9804000000.0,7768000000.0,17572000000.0,0,19375000000.0,-233000000.0,-0.012025806451612903
